,ENCFF488ZHV,ENCFF731FLQ,ENCFF421TJX,ENCFF003XKT,ENCFF928NYA,ENCFF387IEG,ENCFF468UWE,ENCFF379SQG,ENCFF488DCO,ENCFF366SYN,ENCFF713BHS,ENCFF384BFE,ENCFF611MXW,ENCFF973GEQ,ENCFF051DBP,ENCFF842TMB,ENCFF182FGP,ENCFF296ZTM,ENCFF546LDW,ENCFF307SLN,ENCFF352KRP,ENCFF136UBW,ENCFF171FQU,ENCFF717PSW,ENCFF855AWK
EBF1,2.6463957644525085,0.0,1.1188410317455455,4.42449962773315,6.332698112478502,9.430848620935397,10.000000000000002,16.66693747534734,24.040098891737763,0.0,0.0,1.3764170915157037,1.207767532817999,2.8444228851672704,10.823330447221409,0.0,0.0,0.0,6.567783065757295,9.411975142400332,17.345192296646456,7.796173301514992,2.9685161585093742,0.0,9.14095434172522
EHF,14.555176704488796,25.56370247725905,14.544933412692092,25.072164557154515,20.264633959931206,0.0,0.0,1.666693747534734,3.69847675257504,37.06453909592662,32.60545273573733,22.02267346425126,26.570885721995985,25.599805966505432,18.94082828263746,33.269478623634726,24.86558405169185,49.20839187083682,43.78522043838197,0.0,0.0,14.478607559956414,16.821591564886454,27.63981310332888,25.137624439744357
SPIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIB,19.84796823339381,11.92972782272089,59.29857468251392,44.2449962773315,41.79580754235811,209.83638181581253,130.00000000000003,316.6718120315995,70.27105829892577,30.887115913272183,32.60545273573733,37.163261470924,30.19418832044998,28.4442288516727,13.529163059026756,37.42816345158906,34.81181767236859,16.40279729027894,13.13556613151459,105.88472035200375,107.92564095691128,14.478607559956414,48.48576392231978,46.7750683287104,52.56048746492001
SPI1,109.82542422477913,122.70577189084344,1306.8063250787973,970.4402516828044,1041.0955696914657,301.78715586993263,257.50000000000006,351.6723807298289,201.5669830153397,148.25815638370648,167.91808158904726,451.4648060171508,367.16132997667177,147.90999002869805,156.9382914847104,682.0243117845118,566.9353163785742,184.5314695156381,172.95162073160878,461.1867819776164,348.8310895214454,1052.483395704524,758.9506311922299,476.2552411650514,486.755818696868
SPDEF,0.0,0.0,4.475364126982182,7.374166046221917,5.066158489982802,2.3577121552338487,7.500000000000002,1.666693747534734,0.0,1.5443557956636091,0.0,8.25850254909422,6.038837664089996,2.8444228851672704,0.0,4.158684827954341,4.97311681033837,2.0503496612848675,2.1892610219190987,0.0,9.636217942581364,4.454956172294281,0.0,0.0,2.285238585431305
FLI1,0.0,0.0,12.307251349201,13.27349888319945,13.931935847452705,0.0,0.0,0.0,0.0,3.0887115913272183,0.0,0.0,2.415535065635998,5.688845770334541,2.705832611805352,0.0,4.97311681033837,6.1510489838546025,0.0,0.0,0.0,0.0,0.0,4.2522789389736735,2.285238585431305
FEV,2.6463957644525085,17.042468318172702,10.06956928570991,94.38932539164053,64.59352074728072,7.073136465701546,5.000000000000001,16.66693747534734,0.0,52.50809705256271,58.6898149243272,26.151924738798368,19.32428052508799,51.199611933010864,86.58664357777126,199.61687174180835,193.95155560319645,65.61118916111576,65.67783065757295,9.411975142400332,0.0,28.957215119912828,22.7586238819052,284.9026889112361,265.0876759100313
ETV7,7.939187293357525,6.81698732726908,8.950728253964364,8.8489992554663,5.066158489982802,0.0,0.0,0.0,3.69847675257504,0.0,0.0,1.3764170915157037,1.207767532817999,0.0,0.0,8.317369655908681,0.0,2.0503496612848675,0.0,0.0,0.0,3.341217129220711,0.0,0.0,6.855715756293915
ETV6,730.4052309888924,826.5597134313759,1104.2960983328535,1166.5930685123071,1327.333524375494,219.26723043674792,250.00000000000009,256.670837120349,264.4410878091154,645.5407225873886,663.5209631722547,1052.9590750095133,1002.4470522389394,1160.5245371482465,1033.6280577096445,740.2458993758727,616.6664844819579,2308.6937186067607,2228.6677203136423,268.2412915584095,206.2150639712412,540.1634358906816,511.5742846497821,1775.3264570215083,1684.2208374628715
